1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,1,0,0,0,1,1,0,0,8 오윤석,-1,임정호,-1
0,0,1,0,0,1,0,1,0,0,1,8 오윤석,-1,이민호,1
0,0,1,0,1,0,0,1,1,0,0,9 오윤석,-1,이민호,1
0,0,1,0,0,1,0,1,1,0,0,3 오윤석,-1,조무근,5
0,0,1,0,1,0,0,1,0,1,0,9 오윤석,-1,임정우,3
0,0,1,0,0,1,0,1,1,0,0,6 오윤석,-1,김지용,5
0,0,1,0,1,0,1,0,0,0,1,4 오윤석,-1,이한진,-1
1,0,0,0,1,0,0,1,1,0,0,8 오윤석,-1,김광현,0
0,1,0,0,0,1,1,0,1,0,0,8 오윤석,-1,김광현,0
0,0,1,0,1,0,0,1,1,0,0,1 오윤석,-1,윤성환,0
0,0,1,1,0,0,1,0,1,0,0,6 오윤석,-1,임창용,-1
0,1,0,0,1,0,0,1,0,1,0,7 오윤석,-1,조현근,-1
0,1,0,0,0,1,0,1,1,0,0,7 오윤석,-1,김현우,-1
0,0,1,1,0,0,0,1,1,0,0,7 오윤석,-1,안지만,-1
0,1,0,0,0,1,1,0,0,1,0,6 오윤석,-1,밴헤켄,-1
0,1,0,0,1,0,0,1,1,0,0,6 오윤석,-1,밴헤켄,-1
0,0,1,1,0,0,0,1,1,0,0,6 오윤석,-1,손승락,2
1,0,0,0,1,0,1,0,0,1,0,9 오윤석,-1,한현희,1
0,1,0,1,0,0,1,0,1,0,0,9 오윤석,-1,한현희,1
0,0,1,1,0,0,0,1,1,0,0,9 오윤석,-1,김세현,1
0,0,1,0,1,0,1,0,1,0,0,9 오윤석,-1,이상민,-1
0,0,1,1,0,0,0,1,0,1,0,6 오윤석,-1,임창민,3
0,0,1,0,1,0,0,1,1,0,0,7 오윤석,-1,정우람,2
0,0,1,0,1,0,0,1,1,0,0,7 오윤석,-1,이재영,-1
1,0,0,0,1,0,0,1,1,0,0,7 오윤석,-1,윤희상,2
0,1,0,1,0,0,0,1,1,0,0,7 오윤석,-1,윤희상,2
0,1,0,1,0,0,1,0,1,0,0,7 오윤석,-1,윤희상,2
0,0,1,1,0,0,0,1,0,1,0,7 오윤석,-1,이승현,5
0,0,1,0,0,1,0,1,1,0,0,9 오윤석,-1,임정우,3
0,0,1,0,1,0,0,1,1,0,0,8 오윤석,-1,세든,-1
1,0,0,1,0,0,1,0,0,1,0,7 오윤석,-1,피어밴드,1
1,0,0,0,0,1,0,1,1,0,0,7 오윤석,-1,피어밴드,1
0,1,0,0,1,0,0,1,0,1,0,7 오윤석,-1,피어밴드,1
0,0,1,1,0,0,0,1,1,0,0,7 오윤석,-1,한현희,1
1,0,0,1,0,0,0,1,1,0,0,7 오윤석,-1,우규민,4
0,1,0,0,1,0,1,0,1,0,0,7 오윤석,-1,우규민,4
