1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,0,1,1,0,0,9 장준원,-1,정수민,-1
0,0,1,0,0,1,0,1,1,0,0,7 장준원,-1,신재웅,0
1,0,0,0,0,1,1,0,1,0,0,9 장준원,-1,레나도,-1
0,0,1,1,0,0,0,1,1,0,0,9 장준원,-1,원종현,-1
1,0,0,0,1,0,0,1,1,0,0,8 장준원,-1,맨쉽,-1
0,1,0,0,1,0,1,0,1,0,0,9 장준원,-1,지크,-1
0,1,0,0,0,1,1,0,1,0,0,9 장준원,-1,지크,-1
0,0,1,0,0,1,0,1,1,0,0,9 장준원,-1,윤희상,0
0,0,1,0,0,1,1,0,1,0,0,9 장준원,-1,김광현,-1
0,0,1,0,0,1,1,0,1,0,0,9 장준원,-1,김광현,-1
1,0,0,0,0,1,0,1,1,0,0,9 장준원,-1,금민철,1
1,0,0,0,1,0,0,1,1,0,0,9 장준원,-1,스튜어트,-1
0,1,0,0,0,1,0,1,1,0,0,9 장준원,-1,스튜어트,-1
0,0,1,1,0,0,0,1,1,0,0,7 장준원,-1,이현호,-1
1,0,0,1,0,0,0,1,0,0,1,9 장준원,-1,로위,-1
1,0,0,0,0,1,0,1,1,0,0,9 장준원,-1,로위,-1
0,1,0,0,1,0,0,1,0,0,1,9 장준원,-1,김사율,0
0,1,0,0,1,0,0,1,1,0,0,9 장준원,-1,김사율,0
0,0,1,0,1,0,0,1,1,0,0,9 장준원,-1,정성곤,-1
1,0,0,0,1,0,1,0,0,1,0,8 장준원,-1,정인욱,-1
1,0,0,1,0,0,0,1,1,0,0,9 장준원,-1,금민철,1
0,1,0,1,0,0,0,1,1,0,0,9 장준원,-1,금민철,1
0,0,1,1,0,0,0,1,1,0,0,9 장준원,-1,조상우,-1
1,0,0,1,0,0,0,1,1,0,0,9 장준원,-1,김세현,0
0,0,1,0,0,1,1,0,1,0,0,5 장준원,-1,정우람,-1
0,0,1,0,0,1,0,1,1,0,0,7 장준원,-1,정인욱,-1
0,0,1,1,0,0,0,1,0,1,0,9 장준원,-1,손승락,0
1,0,0,0,1,0,1,0,0,1,0,7 장준원,-1,저마노,-1
0,1,0,0,1,0,1,0,1,0,0,7 장준원,-1,저마노,-1
0,0,1,0,1,0,1,0,1,0,0,8 장준원,-1,권혁,4
1,0,0,0,0,1,1,0,1,0,0,7 장준원,-1,밴헤켄,-1
0,1,0,0,1,0,1,0,1,0,0,7 장준원,-1,밴헤켄,-1
1,0,0,0,0,1,1,0,1,0,0,8 장준원,-1,저마노,-1
1,0,0,0,0,1,0,1,0,1,0,8 장준원,-1,심재민,-1
0,1,0,0,1,0,0,1,0,0,1,8 장준원,-1,고영표,-1
1,0,0,1,0,0,0,1,1,0,0,8 장준원,-1,옥스프링,-1
0,1,0,0,1,0,0,1,1,0,0,8 장준원,-1,옥스프링,-1
0,0,1,1,0,0,1,0,1,0,0,8 장준원,-1,홍성용,0
1,0,0,0,0,1,1,0,1,0,0,8 장준원,-1,임준혁,4
1,0,0,0,1,0,1,0,0,1,0,8 장준원,-1,이종석,-1
0,1,0,0,0,1,0,1,0,1,0,8 장준원,-1,박정수,-1
0,1,0,0,1,0,0,1,1,0,0,8 장준원,-1,박정수,-1
0,0,1,0,1,0,0,1,1,0,0,8 장준원,-1,박정수,-1
1,0,0,0,1,0,0,1,1,0,0,8 장준원,-1,해커,3
0,0,1,0,1,0,0,1,1,0,0,6 장준원,-1,해커,3
0,0,1,0,1,0,1,0,1,0,0,6 장준원,-1,이혜천,-1
