1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,1,0,0,1,0,9 양종민,1,정성곤,0
1,0,0,0,1,0,0,1,1,0,0,7 양종민,1,이성민,-1
0,1,0,1,0,0,0,1,1,0,0,7 양종민,1,이성민,-1
0,0,1,1,0,0,0,1,1,0,0,7 양종민,1,장시환,0
0,0,1,0,0,1,1,0,1,0,0,8 양종민,1,하영민,0
0,0,1,0,1,0,1,0,0,0,1,2 양종민,1,하영민,0
0,0,1,1,0,0,0,1,1,0,0,6 양종민,1,김기태,-1
0,0,1,0,1,0,0,1,1,0,0,8 양종민,1,박정진,-1
0,0,1,0,0,1,0,1,1,0,0,5 양종민,1,김건한,-1
0,0,1,0,0,1,0,1,1,0,0,6 양종민,1,민태호,-1
0,0,1,0,0,1,1,0,1,0,0,8 양종민,1,김사율,-1
0,0,1,1,0,0,0,1,0,1,0,6 양종민,1,박정수,3
1,0,0,1,0,0,0,1,1,0,0,8 양종민,1,양현종,1
0,1,0,1,0,0,0,1,0,0,1,8 양종민,1,양현종,1
0,0,1,1,0,0,0,1,1,0,0,8 양종민,1,양현종,1
0,0,1,1,0,0,0,1,1,0,0,9 양종민,1,김기태,-1
0,0,1,1,0,0,1,0,1,0,0,8 양종민,1,배장호,2
0,0,1,0,0,1,0,1,1,0,0,3 양종민,1,김지용,2
0,0,1,0,0,1,0,1,1,0,0,8 양종민,1,오재영,-1
1,0,0,1,0,0,0,1,1,0,0,8 양종민,1,문성현,0
0,1,0,0,0,1,0,1,1,0,0,8 양종민,1,문성현,0
0,0,1,0,1,0,1,0,1,0,0,8 양종민,1,임정우,2
