1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,1,0,1,0,0,9 박지규,-1,니퍼트,1
0,1,0,0,0,1,0,1,0,0,1,9 박지규,-1,니퍼트,1
0,0,1,1,0,0,0,1,1,0,0,9 박지규,-1,함덕주,0
0,0,1,0,1,0,1,0,1,0,0,9 박지규,-1,오현택,-1
1,0,0,0,1,0,1,0,1,0,0,9 박지규,-1,장원준,3
0,1,0,0,0,1,0,1,1,0,0,9 박지규,-1,장원준,3
1,0,0,1,0,0,0,1,0,1,0,9 박지규,-1,유희관,1
0,1,0,0,1,0,1,0,0,1,0,9 박지규,-1,유희관,1
0,0,1,1,0,0,0,1,0,1,0,9 박지규,-1,이재우,-1
0,0,1,0,0,1,1,0,1,0,0,9 박지규,-1,심동섭,4
0,0,1,0,0,1,1,0,0,1,0,9 박지규,-1,임준섭,-1
0,0,1,1,0,0,0,1,0,0,1,9 박지규,-1,최영필,-1
0,0,1,0,0,1,0,1,1,0,0,9 박지규,-1,문경찬,-1
1,0,0,1,0,0,0,1,1,0,0,9 박지규,-1,윤희상,0
0,1,0,0,1,0,0,1,1,0,0,9 박지규,-1,윤희상,0
0,0,1,0,1,0,1,0,1,0,0,9 박지규,-1,이재영,-1
0,0,1,1,0,0,0,1,0,1,0,9 박지규,-1,고효준,2
0,0,1,0,0,1,0,1,1,0,0,9 박지규,-1,윤길현,2
0,0,1,0,0,1,0,1,1,0,0,6 박지규,-1,정대훈,-1
1,0,0,0,1,0,1,0,0,1,0,9 박지규,-1,배영수,-1
1,0,0,0,0,1,0,1,1,0,0,9 박지규,-1,김기현,-1
0,1,0,0,0,1,1,0,1,0,0,9 박지규,-1,김기현,-1
0,0,1,0,1,0,1,0,1,0,0,9 박지규,-1,송창식,4
1,0,0,0,0,1,0,1,1,0,0,9 박지규,-1,해커,3
0,1,0,0,1,0,0,1,0,1,0,9 박지규,-1,해커,3
0,0,1,1,0,0,0,1,0,1,0,9 박지규,-1,홍성용,0
1,0,0,0,0,1,1,0,1,0,0,9 박지규,-1,이재학,5
0,1,0,1,0,0,0,1,0,0,1,9 박지규,-1,이재학,5
0,1,0,1,0,0,0,1,1,0,0,9 박지규,-1,임창민,4
0,0,1,0,1,0,1,0,1,0,0,9 박지규,-1,고창성,-1
1,0,0,0,0,1,0,1,1,0,0,9 박지규,-1,찰리,-1
0,1,0,1,0,0,0,1,1,0,0,9 박지규,-1,찰리,-1
0,0,1,0,0,1,0,1,1,0,0,2 박지규,-1,임창용,3
0,0,1,0,0,1,0,1,1,0,0,9 박지규,-1,심창민,0
1,0,0,1,0,0,0,1,1,0,0,9 박지규,-1,송신영,-1
0,1,0,1,0,0,0,1,1,0,0,9 박지규,-1,송신영,-1
0,0,1,0,0,1,1,0,1,0,0,2 박지규,-1,손승락,0
1,0,0,1,0,0,0,1,0,1,0,7 박지규,-1,한현희,-1
0,1,0,1,0,0,0,1,1,0,0,7 박지규,-1,한현희,-1
0,0,1,0,0,1,0,1,1,0,0,7 박지규,-1,김세현,0
0,0,1,0,0,1,0,1,1,0,0,7 박지규,-1,이상민,-1
1,0,0,0,0,1,0,1,1,0,0,9 박지규,-1,유희관,1
0,1,0,0,0,1,1,0,1,0,0,9 박지규,-1,유희관,1
0,0,1,1,0,0,0,1,0,1,0,9 박지규,-1,이현호,-1
0,0,1,0,1,0,1,0,1,0,0,9 박지규,-1,노경은,5
1,0,0,0,0,1,0,1,1,0,0,9 박지규,-1,니퍼트,1
0,1,0,0,1,0,0,1,1,0,0,9 박지규,-1,니퍼트,1
0,0,1,0,1,0,1,0,0,1,0,9 박지규,-1,니퍼트,1
0,0,1,1,0,0,0,1,0,0,1,9 박지규,-1,이현호,-1
1,0,0,1,0,0,0,1,1,0,0,9 박지규,-1,진야곱,-1
0,1,0,0,1,0,1,0,1,0,0,9 박지규,-1,오현택,-1
0,1,0,0,0,1,1,0,0,1,0,9 박지규,-1,함덕주,0
0,0,1,0,0,1,0,1,1,0,0,9 박지규,-1,이재우,-1
0,0,1,1,0,0,0,1,0,1,0,9 박지규,-1,윤명준,-1
1,0,0,1,0,0,0,1,1,0,0,1 박지규,-1,어윈,-1
1,0,0,0,0,1,0,1,1,0,0,1 박지규,-1,어윈,-1
0,1,0,0,1,0,0,1,1,0,0,1 박지규,-1,어윈,-1
0,0,1,0,0,1,0,1,1,0,0,1 박지규,-1,어윈,-1
0,0,1,0,0,1,1,0,1,0,0,1 박지규,-1,고영표,-1
1,0,0,0,0,1,1,0,1,0,0,9 박지규,-1,정성곤,-1
0,1,0,0,0,1,0,1,1,0,0,9 박지규,-1,배우열,-1
0,1,0,0,0,1,1,0,1,0,0,9 박지규,-1,고영표,-1
