1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,1,0,1,0,0,7 윤해진,-1,강장산,-1
1,0,0,0,0,1,0,1,1,0,0,9 윤해진,-1,류제국,-1
0,0,1,0,1,0,0,1,1,0,0,1 윤해진,-1,신재웅,0
0,0,1,0,0,1,1,0,0,1,0,7 윤해진,-1,김대우,-1
0,0,1,1,0,0,0,1,1,0,0,5 윤해진,-1,장필준,-1
0,0,1,0,1,0,1,0,0,1,0,3 윤해진,-1,김성배,-1
0,0,1,0,1,0,0,1,1,0,0,7 윤해진,-1,김유영,-1
0,0,1,0,1,0,1,0,1,0,0,9 윤해진,-1,정우람,-1
0,0,1,1,0,0,0,1,1,0,0,7 윤해진,-1,권혁,4
1,0,0,0,0,1,1,0,1,0,0,9 윤해진,-1,장원준,3
0,1,0,0,1,0,0,1,0,1,0,9 윤해진,-1,장원준,3
0,0,1,1,0,0,0,1,1,0,0,6 윤해진,-1,이현승,2
0,1,0,1,0,0,0,1,1,0,0,6 윤해진,-1,이명우,0
0,0,1,0,1,0,1,0,1,0,0,6 윤해진,-1,윤길현,2
0,1,0,0,0,1,0,1,0,0,1,6 윤해진,-1,김성배,-1
0,0,1,0,0,1,0,1,0,1,0,6 윤해진,-1,김성배,-1
0,0,1,0,1,0,0,1,1,0,0,6 윤해진,-1,박진형,-1
1,0,0,0,0,1,0,1,0,1,0,8 윤해진,-1,피어밴드,-1
0,1,0,0,1,0,1,0,1,0,0,8 윤해진,-1,피어밴드,-1
0,1,0,0,0,1,1,0,1,0,0,8 윤해진,-1,피어밴드,-1
0,0,1,0,0,1,0,1,1,0,0,8 윤해진,-1,정회찬,-1
0,0,1,0,1,0,0,1,1,0,0,3 윤해진,-1,김용주,-1
0,1,0,0,0,1,0,1,0,0,1,6 윤해진,-1,윤규진,3
0,0,1,1,0,0,0,1,1,0,0,4 윤해진,-1,박시영,-1
0,0,1,0,0,1,0,1,1,0,0,6 윤해진,-1,민태호,-1
0,0,1,1,0,0,0,1,1,0,0,5 윤해진,-1,박준영,-1
0,0,1,1,0,0,0,1,1,0,0,5 윤해진,-1,김정훈,-1
0,1,0,0,0,1,1,0,1,0,0,5 윤해진,-1,장현식,-1
0,0,1,0,1,0,0,1,1,0,0,5 윤해진,-1,정수민,-1
0,0,1,0,1,0,0,1,1,0,0,1 윤해진,-1,배재환,-1
0,0,1,0,0,1,1,0,1,0,0,7 윤해진,-1,김재윤,-1
0,1,0,0,0,1,0,1,1,0,0,5 윤해진,-1,서캠프,-1
0,0,1,1,0,0,0,1,1,0,0,5 윤해진,-1,심수창,4
0,0,1,1,0,0,0,1,1,0,0,5 윤해진,-1,정우람,-1
1,0,0,0,0,1,0,1,1,0,0,7 윤해진,-1,켈리,-1
0,1,0,0,0,1,0,1,1,0,0,7 윤해진,-1,켈리,-1
0,1,0,0,1,0,0,1,1,0,0,2 윤해진,-1,송신영,-1
0,0,1,0,0,1,0,1,1,0,0,2 윤해진,-1,마정길,-1
0,0,1,1,0,0,1,0,1,0,0,2 윤해진,-1,김정훈,-1
