1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,0,1,0,5 백용환,-1,김정인,-1
0,1,0,1,0,0,0,1,1,0,0,8 백용환,-1,심재민,-1
1,0,0,0,0,1,0,1,1,0,0,9 백용환,-1,유희관,1
0,1,0,1,0,0,0,1,1,0,0,9 백용환,-1,유희관,1
1,0,0,1,0,0,0,1,0,1,0,8 백용환,-1,차우찬,1
0,1,0,0,1,0,1,0,1,0,0,8 백용환,-1,차우찬,1
0,1,0,0,0,1,1,0,0,1,0,8 백용환,-1,차우찬,1
0,0,1,0,0,1,1,0,1,0,0,6 백용환,-1,소사,1
0,0,1,0,1,0,0,1,1,0,0,5 백용환,-1,김경태,-1
0,0,1,1,0,0,0,1,0,0,1,8 백용환,-1,서균,-1
0,0,1,0,0,1,1,0,1,0,0,8 백용환,-1,백정현,5
0,1,0,0,0,1,0,1,1,0,0,8 백용환,-1,장원삼,0
0,0,1,0,1,0,1,0,1,0,0,8 백용환,-1,권오준,2
0,0,1,1,0,0,1,0,1,0,0,9 백용환,-1,장시환,2
0,0,1,0,1,0,1,0,0,0,1,8 백용환,-1,강장산,-1
0,1,0,1,0,0,0,1,1,0,0,8 백용환,-1,다이아몬드,-1
0,0,1,1,0,0,0,1,0,0,1,8 백용환,-1,다이아몬드,-1
0,0,1,0,0,1,1,0,1,0,0,8 백용환,-1,김경태,-1
0,0,1,0,1,0,1,0,1,0,0,8 백용환,-1,로치,-1
0,0,1,0,0,1,1,0,1,0,0,8 백용환,-1,김도영,-1
1,0,0,1,0,0,0,1,0,1,0,8 백용환,-1,해커,3
0,1,0,0,0,1,1,0,0,1,0,8 백용환,-1,해커,3
0,1,0,0,0,1,1,0,0,0,1,8 백용환,-1,김진성,0
0,0,1,0,0,1,1,0,1,0,0,8 백용환,-1,최금강,0
1,0,0,0,1,0,1,0,1,0,0,8 백용환,-1,스튜어트,-1
0,1,0,0,0,1,0,1,1,0,0,8 백용환,-1,스튜어트,-1
0,1,0,1,0,0,0,1,1,0,0,8 백용환,-1,박준영,-1
0,0,1,0,1,0,1,0,0,0,1,8 백용환,-1,강장산,-1
1,0,0,1,0,0,0,1,1,0,0,7 백용환,-1,류제국,-1
0,1,0,1,0,0,1,0,1,0,0,7 백용환,-1,류제국,-1
0,1,0,0,0,1,0,1,1,0,0,7 백용환,-1,류제국,-1
0,0,1,1,0,0,0,1,1,0,0,1 백용환,-1,최성훈,-1
0,0,1,0,0,1,0,1,1,0,0,1 백용환,-1,임정우,4
1,0,0,0,0,1,0,1,1,0,0,8 백용환,-1,마리몬,-1
0,1,0,1,0,0,0,1,1,0,0,8 백용환,-1,마리몬,-1
0,0,1,0,0,1,1,0,1,0,0,8 백용환,-1,마리몬,-1
1,0,0,0,0,1,1,0,1,0,0,7 백용환,-1,정대현,-1
0,1,0,0,0,1,0,1,0,1,0,7 백용환,-1,정대현,-1
0,0,1,1,0,0,0,1,1,0,0,7 백용환,-1,배우열,-1
0,0,1,0,0,1,1,0,1,0,0,7 백용환,-1,김재윤,-1
1,0,0,0,0,1,0,1,0,1,0,8 백용환,-1,윤희상,0
0,1,0,0,1,0,0,1,1,0,0,8 백용환,-1,박민호,-1
0,1,0,1,0,0,1,0,1,0,0,8 백용환,-1,박민호,-1
0,0,1,0,0,1,1,0,1,0,0,8 백용환,-1,채병용,2
1,0,0,0,0,1,0,1,1,0,0,7 백용환,-1,김광현,-1
0,1,0,0,1,0,0,1,1,0,0,7 백용환,-1,김광현,-1
0,0,1,0,0,1,0,1,1,0,0,7 백용환,-1,김광현,-1
1,0,0,0,0,1,1,0,1,0,0,8 백용환,-1,켈리,-1
0,1,0,0,1,0,0,1,0,1,0,8 백용환,-1,켈리,-1
0,0,1,1,0,0,1,0,1,0,0,8 백용환,-1,켈리,-1
1,0,0,1,0,0,0,1,1,0,0,8 백용환,-1,박주현,-1
0,1,0,0,1,0,0,1,0,1,0,8 백용환,-1,박주현,-1
0,1,0,1,0,0,0,1,1,0,0,8 백용환,-1,하영민,2
0,0,1,1,0,0,0,1,0,0,1,8 백용환,-1,김택형,-1
0,0,1,1,0,0,0,1,0,1,0,1 백용환,-1,김택형,-1
1,0,0,0,0,1,1,0,1,0,0,8 백용환,-1,웹스터,-1
0,1,0,1,0,0,0,1,1,0,0,8 백용환,-1,웹스터,-1
0,0,1,0,1,0,0,1,1,0,0,8 백용환,-1,웹스터,-1
0,0,1,1,0,0,1,0,1,0,0,8 백용환,-1,안지만,-1
1,0,0,0,1,0,0,1,0,0,1,9 백용환,-1,김건한,-1
0,1,0,0,1,0,0,1,1,0,0,9 백용환,-1,김건한,-1
0,0,1,0,0,1,1,0,1,0,0,9 백용환,-1,김대우,-1
0,0,1,0,0,1,1,0,1,0,0,9 백용환,-1,장필준,-1
1,0,0,0,1,0,0,1,1,0,0,9 백용환,-1,이성민,-1
0,1,0,0,1,0,0,1,0,0,1,9 백용환,-1,이성민,-1
0,1,0,0,0,1,0,1,1,0,0,9 백용환,-1,이정민,-1
0,0,1,0,0,1,0,1,1,0,0,8 백용환,-1,김유영,-1
0,0,1,0,0,1,0,1,1,0,0,6 백용환,-1,정우람,-1
1,0,0,0,0,1,0,1,1,0,0,8 백용환,-1,송은범,3
0,1,0,0,0,1,1,0,1,0,0,8 백용환,-1,박정진,-1
0,0,1,0,1,0,0,1,0,0,1,8 백용환,-1,송창식,4
0,0,1,0,1,0,0,1,1,0,0,8 백용환,-1,정우람,-1
0,0,1,0,1,0,0,1,1,0,0,8 백용환,-1,권혁,4
0,0,1,0,0,1,1,0,1,0,0,9 백용환,-1,이현승,2
0,0,1,1,0,0,0,1,1,0,0,9 백용환,-1,안상빈,-1
1,0,0,0,1,0,0,1,0,1,0,7 백용환,-1,정대현,-1
1,0,0,0,0,1,1,0,1,0,0,7 백용환,-1,고영표,-1
0,1,0,0,1,0,0,1,0,1,0,7 백용환,-1,고영표,-1
0,0,1,0,1,0,0,1,1,0,0,7 백용환,-1,장시환,2
1,0,0,0,1,0,0,1,1,0,0,8 백용환,-1,로저스,-1
0,1,0,1,0,0,0,1,1,0,0,8 백용환,-1,로저스,-1
0,0,1,0,1,0,0,1,0,0,1,8 백용환,-1,로저스,-1
1,0,0,1,0,0,0,1,1,0,0,8 백용환,-1,송은범,3
