1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,1,0,1,0,0,9 이은총,-1,켈리,4
0,1,0,1,0,0,0,1,0,1,0,9 이은총,-1,켈리,4
0,1,0,0,0,1,1,0,1,0,0,9 이은총,-1,전유수,0
0,0,1,0,0,1,1,0,0,1,0,9 이은총,-1,박종훈,2
0,0,1,1,0,0,0,1,1,0,0,6 이은총,-1,최금강,-1
0,0,1,1,0,0,0,1,1,0,0,6 이은총,-1,임창민,1
1,0,0,1,0,0,0,1,1,0,0,1 이은총,-1,박명환,-1
1,0,0,0,0,1,1,0,1,0,0,1 이은총,-1,박명환,-1
0,1,0,0,1,0,0,1,0,0,1,1 이은총,-1,박명환,-1
0,0,1,1,0,0,0,1,0,0,1,1 이은총,-1,임정호,-1
0,0,1,1,0,0,1,0,1,0,0,1 이은총,-1,임창민,1
1,0,0,1,0,0,0,1,0,1,0,1 이은총,-1,해커,1
1,0,0,1,0,0,0,1,1,0,0,1 이은총,-1,해커,1
0,1,0,1,0,0,0,1,0,1,0,1 이은총,-1,해커,1
0,0,1,0,0,1,0,1,1,0,0,1 이은총,-1,최금강,-1
0,0,1,0,0,1,1,0,1,0,0,1 이은총,-1,이민호,2
1,0,0,1,0,0,0,1,0,1,0,1 이은총,-1,밴헤켄,-1
1,0,0,1,0,0,1,0,1,0,0,1 이은총,-1,밴헤켄,-1
0,1,0,1,0,0,1,0,1,0,0,1 이은총,-1,밴헤켄,-1
0,0,1,1,0,0,0,1,1,0,0,1 이은총,-1,조상우,4
0,0,1,0,1,0,0,1,1,0,0,1 이은총,-1,손승락,1
1,0,0,1,0,0,0,1,1,0,0,1 이은총,-1,한현희,2
1,0,0,0,0,1,0,1,1,0,0,1 이은총,-1,한현희,2
0,1,0,0,0,1,0,1,1,0,0,1 이은총,-1,한현희,2
0,1,0,0,0,1,0,1,1,0,0,1 이은총,-1,한현희,2
0,0,1,0,1,0,0,1,1,0,0,1 이은총,-1,손승락,1
1,0,0,1,0,0,0,1,1,0,0,1 이은총,-1,김동준,0
1,0,0,0,1,0,0,1,1,0,0,1 이은총,-1,김동준,0
0,1,0,0,0,1,1,0,1,0,0,1 이은총,-1,김동준,0
0,1,0,0,0,1,0,1,1,0,0,1 이은총,-1,김세현,2
0,0,1,0,0,1,1,0,1,0,0,1 이은총,-1,문성현,0
0,0,1,0,1,0,0,1,1,0,0,1 이은총,-1,배힘찬,-1
1,0,0,0,0,1,1,0,0,1,0,9 이은총,-1,옥스프링,-1
0,1,0,0,0,1,0,1,1,0,0,9 이은총,-1,옥스프링,-1
0,0,1,0,1,0,1,0,1,0,0,9 이은총,-1,옥스프링,-1
1,0,0,0,1,0,0,1,1,0,0,9 이은총,-1,엄상백,0
0,1,0,1,0,0,0,1,1,0,0,9 이은총,-1,시스코,-1
0,0,1,0,0,1,0,1,1,0,0,8 이은총,-1,김사율,-1
