1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,0,1,0,1,0,5 강진성,-1,강동호,-1
0,0,1,0,0,1,0,1,0,1,0,9 강진성,-1,김재윤,1
0,0,1,0,1,0,0,1,0,0,1,2 강진성,-1,엄상백,0
0,0,1,0,0,1,0,1,0,1,0,6 강진성,-1,배제성,0
0,0,1,1,0,0,1,0,1,0,0,4 강진성,-1,오주원,2
0,0,1,0,1,0,1,0,0,1,0,1 강진성,-1,오주원,2
0,0,1,1,0,0,0,1,0,0,1,1 강진성,-1,박치국,2
0,0,1,0,1,0,1,0,1,0,0,9 강진성,-1,이용찬,1
0,1,0,1,0,0,1,0,1,0,0,4 강진성,-1,문승원,0
0,1,0,0,0,1,1,0,1,0,0,4 강진성,-1,문승원,0
0,0,1,1,0,0,0,1,0,1,0,4 강진성,-1,문승원,0
0,1,0,0,0,1,1,0,1,0,0,1 강진성,-1,켈리,4
0,0,1,0,1,0,1,0,1,0,0,1 강진성,-1,채병용,2
0,0,1,1,0,0,0,1,1,0,0,1 강진성,-1,김주한,2
0,0,1,0,0,1,0,1,1,0,0,6 강진성,-1,김윤동,2
0,0,1,0,0,1,0,1,0,0,1,7 강진성,-1,김진영,-1
0,0,1,0,1,0,1,0,1,0,0,9 강진성,-1,임창용,-1
0,0,1,0,1,0,0,1,0,1,0,9 강진성,-1,송창식,0
0,0,1,0,0,1,1,0,0,1,0,7 강진성,-1,김재영,0
0,0,1,0,0,1,0,1,1,0,0,3 강진성,-1,이보근,2
0,0,1,0,0,1,0,1,1,0,0,3 강진성,-1,한현희,2
0,0,1,0,0,1,0,1,1,0,0,4 강진성,-1,최성훈,2
0,0,1,1,0,0,0,1,1,0,0,5 강진성,-1,유원상,0
0,0,1,0,1,0,0,1,1,0,0,9 강진성,-1,장필준,1
0,0,1,0,0,1,0,1,0,0,1,5 강진성,-1,임준혁,-1
0,0,1,1,0,0,1,0,1,0,0,7 강진성,-1,정우람,4
0,0,1,0,1,0,0,1,0,1,0,6 강진성,-1,서균,0
0,0,1,1,0,0,0,1,0,0,1,6 강진성,-1,이용찬,1
1,0,0,0,1,0,0,1,1,0,0,9 강진성,-1,유희관,2
0,0,1,0,1,0,0,1,1,0,0,3 강진성,-1,권오준,1
0,0,1,0,0,1,1,0,1,0,0,6 강진성,-1,최충연,0
0,0,1,0,1,0,0,1,1,0,0,2 강진성,-1,금민철,2
