1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,1,0,0,9 박광열,-1,윤희상,2
0,1,0,1,0,0,0,1,1,0,0,9 박광열,-1,윤희상,2
0,0,1,0,0,1,1,0,1,0,0,9 박광열,-1,박정배,2
0,1,0,0,0,1,0,1,1,0,0,8 박광열,-1,유희관,2
0,0,1,0,1,0,1,0,1,0,0,8 박광열,-1,이용찬,1
0,0,1,1,0,0,0,1,1,0,0,8 박광열,-1,김성배,-1
0,0,1,0,1,0,0,1,0,1,0,8 박광열,-1,김강률,2
1,0,0,0,0,1,0,1,1,0,0,8 박광열,-1,양현종,1
0,1,0,1,0,0,0,1,0,1,0,8 박광열,-1,양현종,1
0,0,1,0,0,1,0,1,0,1,0,8 박광열,-1,양현종,1
0,1,0,0,1,0,1,0,1,0,0,8 박광열,-1,임찬규,0
0,0,1,0,1,0,1,0,1,0,0,8 박광열,-1,정찬헌,2
0,1,0,1,0,0,0,1,1,0,0,9 박광열,-1,백정현,0
0,1,0,0,0,1,0,1,1,0,0,9 박광열,-1,백정현,0
0,0,1,1,0,0,0,1,1,0,0,9 박광열,-1,김시현,-1
1,0,0,0,1,0,0,1,1,0,0,9 박광열,-1,윤희상,2
0,1,0,0,1,0,1,0,1,0,0,9 박광열,-1,윤희상,2
0,0,1,1,0,0,0,1,0,1,0,9 박광열,-1,임준혁,-1
0,0,1,0,1,0,0,1,0,1,0,7 박광열,-1,오윤성,-1
0,0,1,0,1,0,1,0,1,0,0,9 박광열,-1,정우람,4
1,0,0,1,0,0,0,1,1,0,0,9 박광열,-1,배영수,2
1,0,0,0,1,0,0,1,1,0,0,9 박광열,-1,배영수,2
0,1,0,0,1,0,1,0,1,0,0,9 박광열,-1,배영수,2
0,1,0,1,0,0,1,0,1,0,0,9 박광열,-1,이태양,0
0,0,1,1,0,0,0,1,1,0,0,9 박광열,-1,박상원,4
1,0,0,1,0,0,0,1,1,0,0,9 박광열,-1,윤희상,2
0,1,0,1,0,0,0,1,1,0,0,9 박광열,-1,윤희상,2
0,1,0,0,0,1,0,1,1,0,0,9 박광열,-1,윤희상,2
0,0,1,1,0,0,1,0,1,0,0,9 박광열,-1,정동윤,-1
1,0,0,0,1,0,0,1,0,1,0,9 박광열,-1,윤성환,1
0,1,0,0,0,1,1,0,1,0,0,9 박광열,-1,윤성환,1
0,0,1,0,1,0,0,1,1,0,0,9 박광열,-1,최충연,0
0,0,1,0,1,0,0,1,1,0,0,9 박광열,-1,엄상백,0
1,0,0,1,0,0,1,0,1,0,0,9 박광열,-1,정재원,3
1,0,0,0,0,1,0,1,1,0,0,9 박광열,-1,정재원,3
0,0,1,0,0,1,1,0,1,0,0,9 박광열,-1,정우람,4
1,0,0,1,0,0,1,0,1,0,0,9 박광열,-1,윤성환,1
0,1,0,0,0,1,0,1,1,0,0,9 박광열,-1,윤성환,1
0,1,0,0,0,1,0,1,1,0,0,9 박광열,-1,윤성환,1
0,0,1,0,0,1,0,1,1,0,0,9 박광열,-1,권오준,1
1,0,0,0,1,0,0,1,1,0,0,9 박광열,-1,윤희상,2
0,0,1,1,0,0,0,1,1,0,0,9 박광열,-1,장시환,0
1,0,0,1,0,0,0,1,1,0,0,9 박광열,-1,니퍼트,1
0,1,0,0,0,1,0,1,1,0,0,9 박광열,-1,니퍼트,1
1,0,0,0,1,0,0,1,1,0,0,9 박광열,-1,양현종,1
0,1,0,0,1,0,0,1,1,0,0,9 박광열,-1,양현종,1
1,0,0,0,0,1,0,1,1,0,0,9 박광열,-1,비야누에바,-1
0,1,0,0,0,1,0,1,1,0,0,9 박광열,-1,비야누에바,-1
0,0,1,0,0,1,0,1,0,1,0,8 박광열,-1,박정진,-1
0,0,1,0,0,1,1,0,1,0,0,8 박광열,-1,정우람,4
1,0,0,1,0,0,0,1,1,0,0,9 박광열,-1,최원태,1
0,1,0,1,0,0,0,1,0,1,0,9 박광열,-1,최원태,1
0,0,1,0,1,0,0,1,1,0,0,9 박광열,-1,김지용,2
0,0,1,0,0,1,1,0,1,0,0,9 박광열,-1,임정우,2
1,0,0,0,0,1,0,1,1,0,0,9 박광열,-1,정성곤,0
0,0,1,1,0,0,0,1,0,1,0,9 박광열,-1,박진태,-1
0,0,1,0,0,1,0,1,1,0,0,9 박광열,-1,박진태,-1
0,0,1,1,0,0,0,1,1,0,0,9 박광열,-1,엄상백,0
1,0,0,1,0,0,0,1,0,1,0,9 박광열,-1,박세웅,2
0,1,0,0,1,0,0,1,1,0,0,9 박광열,-1,박세웅,2
0,0,1,0,0,1,0,1,0,1,0,9 박광열,-1,박세웅,2
1,0,0,0,0,1,0,1,1,0,0,9 박광열,-1,박종훈,2
0,1,0,0,0,1,1,0,0,0,1,9 박광열,-1,박종훈,2
0,0,1,0,1,0,0,1,0,0,1,9 박광열,-1,박상원,4
0,0,1,0,1,0,0,1,1,0,0,9 박광열,-1,이용찬,1
0,0,1,0,0,1,0,1,0,1,0,8 박광열,-1,이동걸,-1
0,0,1,0,0,1,0,1,0,1,0,7 박광열,-1,이용찬,1
0,1,0,1,0,0,0,1,0,0,1,9 박광열,-1,김승회,2
0,1,0,0,0,1,0,1,1,0,0,9 박광열,-1,코엘로,-1
0,0,1,1,0,0,1,0,1,0,0,9 박광열,-1,하영민,0
0,1,0,0,1,0,1,0,1,0,0,9 박광열,-1,정인욱,0
0,0,1,0,1,0,0,1,0,1,0,9 박광열,-1,장필준,1
0,0,1,1,0,0,0,1,0,1,0,9 박광열,-1,박민규,-1
0,0,1,0,1,0,1,0,1,0,0,9 박광열,-1,박희수,4
0,0,1,0,0,1,0,1,0,1,0,8 박광열,-1,박준표,0
0,0,1,1,0,0,0,1,1,0,0,9 박광열,-1,김주한,2
0,0,1,0,1,0,0,1,1,0,0,9 박광열,-1,전유수,0
0,0,1,0,1,0,0,1,1,0,0,9 박광열,-1,임정우,2
0,1,0,0,0,1,1,0,0,1,0,7 박광열,-1,권오준,1
0,0,1,0,1,0,0,1,1,0,0,7 박광열,-1,장필준,1
0,1,0,1,0,0,0,1,0,1,0,9 박광열,-1,이태양,0
0,0,1,0,1,0,0,1,1,0,0,9 박광열,-1,박정진,-1
0,0,1,0,1,0,1,0,0,1,0,9 박광열,-1,김재윤,1
0,1,0,0,1,0,0,1,1,0,0,8 박광열,-1,전유수,0
0,0,1,0,1,0,0,1,0,1,0,8 박광열,-1,권혁,1
0,1,0,0,0,1,0,1,1,0,0,8 박광열,-1,클로이드,-1
0,0,1,0,0,1,0,1,1,0,0,8 박광열,-1,신용운,-1
0,0,1,0,1,0,0,1,1,0,0,9 박광열,-1,김민수,0
0,0,1,0,0,1,1,0,0,1,0,9 박광열,-1,김민수,0
0,0,1,1,0,0,0,1,1,0,0,9 박광열,-1,김세현,2
0,0,1,0,0,1,0,1,0,1,0,9 박광열,-1,손승락,1
0,1,0,1,0,0,0,1,0,1,0,9 박광열,-1,양현종,1
