1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,1,0,1,1,0,0,1 정진기,-1,이상화,4
1,0,0,1,0,0,0,1,1,0,0,1 정진기,-1,임기영,-1
1,0,0,0,1,0,0,1,1,0,0,1 정진기,-1,임기영,-1
0,1,0,1,0,0,0,1,0,1,0,1 정진기,-1,임기영,-1
0,0,1,0,1,0,0,1,1,0,0,1 정진기,-1,한승혁,3
0,0,1,0,0,1,1,0,1,0,0,1 정진기,-1,임창용,3
1,0,0,0,1,0,0,1,0,0,1,2 정진기,-1,박세웅,-1
1,0,0,0,1,0,0,1,0,1,0,2 정진기,-1,박세웅,-1
0,1,0,0,0,1,0,1,1,0,0,2 정진기,-1,박세웅,-1
0,0,1,1,0,0,0,1,0,1,0,2 정진기,-1,송승준,3
0,0,1,0,0,1,1,0,1,0,0,2 정진기,-1,손승락,0
0,0,1,0,1,0,0,1,0,1,0,9 정진기,-1,박시영,-1
0,1,0,0,0,1,0,1,1,0,0,5 정진기,-1,송승준,3
0,0,1,1,0,0,0,1,1,0,0,5 정진기,-1,윤길현,2
0,0,1,1,0,0,0,1,0,1,0,5 정진기,-1,강영식,-1
1,0,0,1,0,0,0,1,0,1,0,5 정진기,-1,이태양,-1
0,1,0,1,0,0,0,1,1,0,0,5 정진기,-1,이태양,-1
0,1,0,0,0,1,0,1,1,0,0,5 정진기,-1,안영명,3
0,1,0,0,1,0,0,1,0,0,1,5 정진기,-1,안영명,3
0,0,1,0,1,0,0,1,1,0,0,5 정진기,-1,윤규진,3
0,0,1,1,0,0,0,1,1,0,0,4 정진기,-1,송신영,-1
1,0,0,1,0,0,1,0,1,0,0,2 정진기,-1,한현희,-1
1,0,0,0,1,0,0,1,1,0,0,2 정진기,-1,한현희,-1
0,1,0,1,0,0,0,1,1,0,0,2 정진기,-1,한현희,-1
0,0,1,0,0,1,0,1,1,0,0,2 정진기,-1,이보근,-1
0,0,1,0,1,0,0,1,0,1,0,1 정진기,-1,김강률,0
0,0,1,0,1,0,0,1,1,0,0,1 정진기,-1,김강률,0
1,0,0,1,0,0,0,1,0,1,0,1 정진기,-1,장원준,3
1,0,0,0,0,1,0,1,0,0,1,1 정진기,-1,장원준,3
0,1,0,1,0,0,0,1,1,0,0,1 정진기,-1,장원준,3
0,1,0,0,0,1,1,0,1,0,0,1 정진기,-1,김승회,0
1,0,0,0,1,0,0,1,1,0,0,2 정진기,-1,함덕주,0
0,1,0,1,0,0,0,1,1,0,0,2 정진기,-1,함덕주,0
0,1,0,1,0,0,0,1,1,0,0,2 정진기,-1,함덕주,0
0,0,1,1,0,0,0,1,1,0,0,2 정진기,-1,이현승,2
1,0,0,0,0,1,0,1,1,0,0,1 정진기,-1,김대현,-1
1,0,0,0,0,1,1,0,1,0,0,1 정진기,-1,김대현,-1
0,1,0,0,1,0,0,1,0,0,1,1 정진기,-1,최동환,2
0,0,1,0,0,1,0,1,1,0,0,1 정진기,-1,윤지웅,4
1,0,0,0,1,0,0,1,1,0,0,2 정진기,-1,류제국,-1
0,1,0,1,0,0,0,1,1,0,0,2 정진기,-1,류제국,-1
0,1,0,0,1,0,0,1,1,0,0,2 정진기,-1,류제국,-1
0,0,1,0,0,1,0,1,1,0,0,5 정진기,-1,임찬규,-1
0,0,1,1,0,0,0,1,0,1,0,5 정진기,-1,신정락,-1
1,0,0,0,0,1,0,1,0,1,0,9 정진기,-1,장원삼,0
1,0,0,0,0,1,0,1,1,0,0,9 정진기,-1,김승현,-1
0,1,0,0,1,0,0,1,1,0,0,9 정진기,-1,백정현,5
0,0,1,0,1,0,1,0,0,1,0,9 정진기,-1,장필준,-1
1,0,0,1,0,0,0,1,1,0,0,5 정진기,-1,페트릭,-1
0,1,0,1,0,0,0,1,0,1,0,5 정진기,-1,페트릭,-1
0,1,0,1,0,0,0,1,1,0,0,5 정진기,-1,페트릭,-1
0,0,1,0,0,1,0,1,1,0,0,5 정진기,-1,심창민,0
1,0,0,0,1,0,0,1,1,0,0,2 정진기,-1,우규민,0
1,0,0,1,0,0,0,1,1,0,0,2 정진기,-1,우규민,0
0,1,0,0,0,1,0,1,0,1,0,2 정진기,-1,우규민,0
0,1,0,1,0,0,1,0,1,0,0,2 정진기,-1,박근홍,2
0,0,1,0,1,0,0,1,1,0,0,2 정진기,-1,이승현,-1
0,0,1,0,1,0,0,1,1,0,0,1 정진기,-1,정우람,-1
1,0,0,1,0,0,0,1,0,1,0,1 정진기,-1,배영수,-1
1,0,0,0,0,1,0,1,1,0,0,1 정진기,-1,배영수,-1
0,1,0,1,0,0,1,0,0,1,0,1 정진기,-1,배영수,-1
0,1,0,0,1,0,0,1,1,0,0,1 정진기,-1,송창식,4
0,0,1,0,1,0,1,0,1,0,0,1 정진기,-1,권혁,4
0,0,1,0,0,1,0,1,1,0,0,1 정진기,-1,송은범,3
0,0,1,1,0,0,0,1,1,0,0,4 정진기,-1,김홍빈,-1
0,0,1,1,0,0,0,1,1,0,0,4 정진기,-1,김홍빈,-1
0,0,1,0,1,0,0,1,1,0,0,4 정진기,-1,금민철,1
1,0,0,0,1,0,0,1,0,1,0,2 정진기,-1,임기영,-1
1,0,0,0,1,0,0,1,1,0,0,2 정진기,-1,임기영,-1
0,1,0,1,0,0,1,0,1,0,0,2 정진기,-1,임기영,-1
0,0,1,0,0,1,0,1,0,0,1,2 정진기,-1,고효준,2
1,0,0,1,0,0,1,0,1,0,0,2 정진기,-1,헥터,-1
1,0,0,0,1,0,0,1,1,0,0,2 정진기,-1,헥터,-1
0,1,0,0,0,1,1,0,1,0,0,2 정진기,-1,헥터,-1
0,0,1,0,1,0,1,0,1,0,0,2 정진기,-1,헥터,-1
0,0,1,0,0,1,1,0,1,0,0,2 정진기,-1,임창용,3
1,0,0,0,1,0,0,1,0,1,0,2 정진기,-1,페트릭,-1
0,1,0,1,0,0,0,1,1,0,0,2 정진기,-1,페트릭,-1
0,1,0,0,1,0,0,1,1,0,0,2 정진기,-1,페트릭,-1
0,0,1,0,1,0,0,1,1,0,0,2 정진기,-1,심창민,0
0,0,1,0,0,1,1,0,1,0,0,7 정진기,-1,이승현,-1
0,0,1,0,0,1,0,1,0,1,0,7 정진기,-1,강윤구,-1
0,0,1,0,0,1,1,0,1,0,0,7 정진기,-1,임정호,-1
0,0,1,0,0,1,0,1,1,0,0,7 정진기,-1,민태호,-1
0,0,1,1,0,0,1,0,1,0,0,9 정진기,-1,손승락,0
0,0,1,1,0,0,0,1,0,1,0,9 정진기,-1,배장호,2
0,1,0,0,0,1,1,0,1,0,0,1 정진기,-1,레일리,-1
0,0,1,0,0,1,0,1,1,0,0,1 정진기,-1,강동호,-1
1,0,0,1,0,0,0,1,0,1,0,7 정진기,-1,허프,-1
0,1,0,1,0,0,0,1,1,0,0,7 정진기,-1,허프,-1
0,0,1,1,0,0,0,1,1,0,0,7 정진기,-1,허프,-1
0,0,1,0,0,1,1,0,0,1,0,7 정진기,-1,정찬헌,3
1,0,0,1,0,0,0,1,1,0,0,1 정진기,-1,차우찬,1
1,0,0,0,0,1,1,0,1,0,0,1 정진기,-1,차우찬,1
0,1,0,0,1,0,0,1,0,1,0,1 정진기,-1,차우찬,1
0,0,1,1,0,0,0,1,1,0,0,1 정진기,-1,신정락,-1
1,0,0,0,1,0,0,1,1,0,0,2 정진기,-1,고영표,-1
1,0,0,1,0,0,0,1,0,1,0,2 정진기,-1,고영표,-1
0,1,0,1,0,0,0,1,1,0,0,2 정진기,-1,고영표,-1
0,0,1,1,0,0,1,0,1,0,0,2 정진기,-1,홍성무,-1
0,0,1,0,1,0,1,0,1,0,0,2 정진기,-1,홍성용,0
0,0,1,0,1,0,1,0,0,0,1,8 정진기,-1,김세현,0
0,0,1,0,0,1,0,1,1,0,0,7 정진기,-1,하영민,2
0,0,1,1,0,0,0,1,1,0,0,9 정진기,-1,신정락,-1
0,1,0,1,0,0,1,0,1,0,0,2 정진기,-1,소사,1
0,0,1,1,0,0,0,1,1,0,0,2 정진기,-1,최동환,2
1,0,0,0,1,0,0,1,1,0,0,2 정진기,-1,이태양,-1
1,0,0,0,1,0,1,0,0,1,0,2 정진기,-1,이태양,-1
0,1,0,0,1,0,0,1,0,1,0,2 정진기,-1,이동걸,4
0,1,0,0,0,1,1,0,0,1,0,2 정진기,-1,장민재,-1
0,0,1,1,0,0,0,1,1,0,0,2 정진기,-1,송창식,4
1,0,0,1,0,0,0,1,1,0,0,1 정진기,-1,윤규진,3
1,0,0,1,0,0,0,1,1,0,0,1 정진기,-1,윤규진,3
0,1,0,0,0,1,0,1,1,0,0,1 정진기,-1,윤규진,3
0,0,1,0,1,0,1,0,1,0,0,1 정진기,-1,송창식,4
1,0,0,1,0,0,1,0,0,1,0,2 정진기,-1,김재영,-1
1,0,0,0,1,0,0,1,1,0,0,2 정진기,-1,김재영,-1
0,1,0,0,1,0,0,1,1,0,0,2 정진기,-1,김재영,-1
1,0,0,0,1,0,0,1,0,1,0,2 정진기,-1,페트릭,-1
1,0,0,1,0,0,0,1,1,0,0,2 정진기,-1,페트릭,-1
0,1,0,0,0,1,0,1,1,0,0,2 정진기,-1,페트릭,-1
