1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,1,0,1,0,0,2 김영환,-1,윤규진,3
1,0,0,1,0,0,0,1,1,0,0,2 김영환,-1,윤규진,3
0,0,1,0,0,1,1,0,1,0,0,9 김영환,-1,최영필,-1
0,0,1,1,0,0,0,1,0,1,0,8 김영환,-1,손승락,0
0,0,1,0,1,0,1,0,1,0,0,6 김영환,-1,윤길현,2
1,0,0,1,0,0,0,1,1,0,0,7 김영환,-1,스튜어트,-1
1,0,0,0,0,1,0,1,1,0,0,7 김영환,-1,스튜어트,-1
0,1,0,0,1,0,0,1,1,0,0,7 김영환,-1,원종현,-1
0,0,1,0,0,1,0,1,1,0,0,7 김영환,-1,장현식,-1
0,0,1,0,0,1,0,1,0,1,0,5 김영환,-1,권오준,2
0,0,1,1,0,0,0,1,1,0,0,8 김영환,-1,박시영,-1
0,0,1,0,1,0,0,1,1,0,0,9 김영환,-1,강동연,-1
0,0,1,0,0,1,1,0,1,0,0,6 김영환,-1,봉중근,-1
0,0,1,0,1,0,1,0,1,0,0,5 김영환,-1,신재웅,0
0,0,1,0,1,0,0,1,0,0,1,7 김영환,-1,마정길,-1
0,0,1,1,0,0,0,1,1,0,0,6 김영환,-1,마정길,-1
0,0,1,0,0,1,0,1,0,1,0,3 김영환,-1,배장호,2
0,0,1,1,0,0,1,0,1,0,0,3 김영환,-1,이상화,4
1,0,0,0,0,1,1,0,1,0,0,7 김영환,-1,이재곤,-1
0,1,0,0,0,1,1,0,1,0,0,7 김영환,-1,이재곤,-1
0,0,1,0,1,0,0,1,1,0,0,9 김영환,-1,윤석민,-1
0,0,1,0,0,1,1,0,1,0,0,6 김영환,-1,박정진,-1
0,0,1,0,1,0,0,1,1,0,0,8 김영환,-1,정대현,-1
1,0,0,1,0,0,0,1,1,0,0,8 김영환,-1,이재학,5
0,1,0,0,1,0,0,1,1,0,0,8 김영환,-1,이재학,5
0,0,1,1,0,0,1,0,1,0,0,6 김영환,-1,양훈,-1
0,0,1,1,0,0,1,0,1,0,0,6 김영환,-1,이정훈,-1
0,0,1,0,1,0,1,0,0,1,0,6 김영환,-1,손승락,0
0,1,0,0,1,0,0,1,1,0,0,9 김영환,-1,송창식,4
0,1,0,0,1,0,0,1,1,0,0,9 김영환,-1,배영수,-1
0,0,1,0,0,1,0,1,0,1,0,9 김영환,-1,박정진,-1
0,0,1,0,1,0,0,1,0,1,0,9 김영환,-1,김민우,-1
1,0,0,0,1,0,1,0,0,1,0,7 김영환,-1,손민한,-1
1,0,0,1,0,0,1,0,0,1,0,7 김영환,-1,이민호,0
0,1,0,0,0,1,0,1,0,1,0,7 김영환,-1,박명환,-1
0,0,1,1,0,0,0,1,1,0,0,7 김영환,-1,노성호,-1
1,0,0,1,0,0,1,0,1,0,0,2 김영환,-1,스튜어트,-1
1,0,0,0,1,0,1,0,1,0,0,2 김영환,-1,스튜어트,-1
0,1,0,1,0,0,0,1,1,0,0,2 김영환,-1,스튜어트,-1
0,0,1,0,0,1,1,0,1,0,0,2 김영환,-1,김진성,0
0,1,0,1,0,0,0,1,1,0,0,9 김영환,-1,윤성환,5
0,0,1,0,0,1,0,1,1,0,0,7 김영환,-1,심창민,0
0,0,1,1,0,0,0,1,1,0,0,6 김영환,-1,우규민,0
0,0,1,0,0,1,0,1,0,1,0,6 김영환,-1,이동현,0
0,1,0,0,0,1,0,1,0,1,0,1 김영환,-1,스와잭,-1
0,0,1,0,0,1,1,0,1,0,0,8 김영환,-1,니퍼트,1
1,0,0,0,1,0,0,1,1,0,0,2 김영환,-1,이태양,-1
1,0,0,0,1,0,0,1,1,0,0,2 김영환,-1,이태양,-1
0,1,0,1,0,0,1,0,1,0,0,2 김영환,-1,이태양,-1
0,0,1,0,1,0,1,0,1,0,0,2 김영환,-1,이태양,-1
0,1,0,1,0,0,0,1,1,0,0,1 김영환,-1,루카스,-1
0,0,1,0,1,0,0,1,1,0,0,1 김영환,-1,루카스,-1
0,0,1,0,0,1,1,0,1,0,0,1 김영환,-1,임정우,4
0,0,1,0,1,0,0,1,1,0,0,5 김영환,-1,클로이드,-1
0,0,1,0,1,0,0,1,1,0,0,1 김영환,-1,임창용,3
0,1,0,0,1,0,0,1,1,0,0,8 김영환,-1,노경은,5
0,0,1,1,0,0,0,1,0,1,0,8 김영환,-1,윤명준,-1
0,0,1,0,1,0,0,1,1,0,0,6 김영환,-1,켈리,-1
1,0,0,0,0,1,0,1,0,1,0,8 김영환,-1,스튜어트,-1
0,1,0,0,1,0,1,0,1,0,0,8 김영환,-1,스튜어트,-1
0,1,0,0,1,0,0,1,1,0,0,8 김영환,-1,최금강,0
