1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,1,0,0,1,0,8 김태연,-1,신재영,3
1,0,0,0,0,1,1,0,1,0,0,8 김태연,-1,신재영,3
0,1,0,0,0,1,0,1,1,0,0,8 김태연,-1,신재영,3
0,0,1,0,1,0,0,1,1,0,0,8 김태연,-1,김상수,1
1,0,0,0,1,0,0,1,0,0,1,7 김태연,-1,브리검,3
1,0,0,0,0,1,1,0,1,0,0,7 김태연,-1,브리검,3
0,1,0,0,1,0,1,0,1,0,0,7 김태연,-1,브리검,3
0,1,0,0,0,1,1,0,1,0,0,7 김태연,-1,조상우,5
1,0,0,1,0,0,0,1,1,0,0,8 김태연,-1,페트릭,-1
0,1,0,0,0,1,0,1,1,0,0,8 김태연,-1,페트릭,-1
1,0,0,1,0,0,0,1,1,0,0,8 김태연,-1,윤성환,0
0,1,0,0,0,1,0,1,1,0,0,8 김태연,-1,윤성환,0
0,0,1,0,0,1,0,1,1,0,0,8 김태연,-1,윤성환,0
1,0,0,1,0,0,0,1,1,0,0,8 김태연,-1,피어밴드,1
0,1,0,0,0,1,1,0,1,0,0,8 김태연,-1,피어밴드,1
1,0,0,1,0,0,0,1,1,0,0,9 김태연,-1,유희관,4
1,0,0,1,0,0,1,0,1,0,0,9 김태연,-1,맨쉽,6
0,1,0,1,0,0,1,0,1,0,0,9 김태연,-1,최금강,-1
0,0,1,0,0,1,0,1,1,0,0,9 김태연,-1,최금강,-1
1,0,0,0,0,1,0,1,1,0,0,8 김태연,-1,팻딘,-1
0,1,0,0,1,0,1,0,1,0,0,8 김태연,-1,팻딘,-1
0,0,1,0,1,0,0,1,1,0,0,5 김태연,-1,임준혁,-1
