1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,0,1,0,1,0,9 全己癌,-1,饭老府,2
0,0,1,1,0,0,1,0,0,0,1,9 全己癌,-1,烙扁霖,5
0,0,1,1,0,0,0,1,1,0,0,2 全己癌,-1,冠柳怕,-1
0,1,0,1,0,0,0,1,1,0,0,9 全己癌,-1,辣痹柳,2
1,0,0,0,1,0,0,1,1,0,0,8 全己癌,-1,剧泅辆,0
0,1,0,1,0,0,1,0,1,0,0,8 全己癌,-1,剧泅辆,0
1,0,0,0,0,1,0,1,1,0,0,8 全己癌,-1,冠技柳,6
0,0,1,0,1,0,1,0,1,0,0,9 全己癌,-1,捞悼泅,2
0,0,1,1,0,0,0,1,0,1,0,9 全己癌,-1,捞疙快,-1
0,0,1,0,0,1,0,1,1,0,0,2 全己癌,-1,辣辨泅,2
0,0,1,0,1,0,0,1,1,0,0,6 全己癌,-1,冠沥柳,-1
0,0,1,0,0,1,1,0,0,1,0,2 全己癌,-1,捞泅铰,2
0,0,1,1,0,0,0,1,0,1,0,2 全己癌,-1,辫碍伏,3
1,0,0,1,0,0,0,1,1,0,0,8 全己癌,-1,厘盔霖,0
0,1,0,1,0,0,0,1,1,0,0,8 全己癌,-1,厘盔霖,0
0,0,1,0,1,0,0,1,1,0,0,8 全己癌,-1,厘盔霖,0
0,0,1,0,1,0,0,1,0,0,1,8 全己癌,-1,沥犁绕,-1
0,0,1,0,0,1,0,1,0,1,0,3 全己癌,-1,硅快凯,6
0,1,0,0,0,1,1,0,1,0,0,2 全己癌,-1,全己侩,-1
0,0,1,0,1,0,0,1,0,0,1,2 全己癌,-1,绊康钎,-1
0,0,1,0,1,0,1,0,1,0,0,6 全己癌,-1,辣籍刮,4
0,1,0,0,0,1,0,1,1,0,0,9 全己癌,-1,辫堡泅,0
0,0,1,0,1,0,0,1,1,0,0,6 全己癌,-1,辫怕绕,5
0,0,1,1,0,0,0,1,1,0,0,8 全己癌,-1,冠锐荐,3
0,1,0,0,0,1,1,0,1,0,0,3 全己癌,-1,蜡盔惑,2
0,0,1,0,1,0,0,1,1,0,0,3 全己癌,-1,烙沥快,3
0,0,1,0,0,1,1,0,1,0,0,9 全己癌,-1,捞悼泅,2
0,0,1,0,1,0,1,0,0,0,1,9 全己癌,-1,辫柳己,3
0,0,1,0,1,0,1,0,1,0,0,9 全己癌,-1,辫柳己,3
0,0,1,0,0,1,1,0,1,0,0,9 全己癌,-1,冠锐荐,3
0,0,1,0,0,1,1,0,1,0,0,9 全己癌,-1,归沥泅,1
0,0,1,0,1,0,0,1,0,0,1,3 全己癌,-1,烙沥龋,-1
0,0,1,1,0,0,0,1,1,0,0,9 全己癌,-1,沥快恩,2
0,0,1,0,0,1,0,1,0,1,0,9 全己癌,-1,沥快恩,2
0,0,1,0,0,1,1,0,1,0,0,2 全己癌,-1,沥快恩,2
0,0,1,0,1,0,0,1,0,1,0,6 全己癌,-1,林鼻,3
1,0,0,0,0,1,1,0,1,0,0,8 全己癌,-1,沥措泅,-1
0,1,0,0,1,0,0,1,1,0,0,8 全己癌,-1,沥措泅,-1
0,0,1,0,1,0,0,1,1,0,0,8 全己癌,-1,沥措泅,-1
1,0,0,0,1,0,0,1,1,0,0,8 全己癌,-1,瞒快蛮,0
0,1,0,0,1,0,1,0,0,1,0,8 全己癌,-1,瞒快蛮,0
0,1,0,0,0,1,1,0,1,0,0,8 全己癌,-1,瞒快蛮,0
0,0,1,0,1,0,1,0,1,0,0,6 全己癌,-1,茄扁林,3
0,1,0,0,0,1,0,1,1,0,0,6 全己癌,-1,剧泅辆,0
0,1,0,0,0,1,1,0,1,0,0,6 全己癌,-1,剧泅辆,0
0,0,1,0,0,1,1,0,1,0,0,7 全己癌,-1,烙芒刮,3
0,0,1,1,0,0,0,1,0,0,1,5 全己癌,-1,辫急痹,-1
0,0,1,0,0,1,0,1,1,0,0,4 全己癌,-1,决惑归,3
1,0,0,0,1,0,1,0,1,0,0,8 全己癌,-1,冠柳屈,5
0,1,0,0,1,0,1,0,1,0,0,8 全己癌,-1,冠柳屈,5
0,1,0,0,0,1,0,1,0,1,0,8 全己癌,-1,全己刮,5
0,0,1,1,0,0,0,1,1,0,0,3 全己癌,-1,捞刮龋,1
1,0,0,0,1,0,0,1,1,0,0,8 全己癌,-1,瞒快蛮,0
0,1,0,0,0,1,0,1,1,0,0,8 全己癌,-1,瞒快蛮,0
0,0,1,0,0,1,0,1,1,0,0,8 全己癌,-1,瞒快蛮,0
0,0,1,1,0,0,0,1,0,1,0,7 全己癌,-1,捞悼泅,2
0,0,1,0,1,0,0,1,1,0,0,1 全己癌,-1,烙沥快,3
0,0,1,1,0,0,0,1,1,0,0,6 全己癌,-1,冠矫康,5
0,0,1,0,0,1,0,1,0,1,0,6 全己癌,-1,冠茄辨,-1
1,0,0,0,1,0,1,0,1,0,0,8 全己癌,-1,畴版篮,-1
0,1,0,1,0,0,0,1,1,0,0,8 全己癌,-1,畴版篮,-1
0,1,0,0,1,0,1,0,0,1,0,8 全己癌,-1,硅厘龋,3
1,0,0,1,0,0,0,1,0,1,0,8 全己癌,-1,辫辣悼,5
0,1,0,1,0,0,0,1,1,0,0,8 全己癌,-1,辫辣悼,5
0,0,1,0,1,0,1,0,1,0,0,8 全己癌,-1,辫柳快,-1
1,0,0,0,0,1,0,1,1,0,0,6 全己癌,-1,剧泅辆,0
0,1,0,1,0,0,0,1,1,0,0,6 全己癌,-1,剧泅辆,0
0,1,0,0,0,1,0,1,0,1,0,6 全己癌,-1,剧泅辆,0
0,0,1,0,0,1,1,0,1,0,0,6 全己癌,-1,全扒锐,3
1,0,0,1,0,0,0,1,1,0,0,8 全己癌,-1,敲鄂单,-1
1,0,0,0,0,1,1,0,1,0,0,8 全己癌,-1,敲鄂单,-1
0,1,0,0,0,1,0,1,1,0,0,8 全己癌,-1,敲鄂单,-1
0,0,1,0,0,1,0,1,0,0,1,9 全己癌,-1,厘泅侥,3
0,1,0,0,1,0,1,0,1,0,0,9 全己癌,-1,秦目,2
0,0,1,1,0,0,0,1,1,0,0,9 全己癌,-1,盔辆泅,3
0,0,1,1,0,0,0,1,1,0,0,6 全己癌,-1,捞沥刮,-1
0,0,1,0,1,0,1,0,1,0,0,9 全己癌,-1,呕焊飘,-1
0,0,1,0,1,0,0,1,0,1,0,6 全己癌,-1,缴荐芒,2
0,0,1,0,1,0,1,0,0,1,0,3 全己癌,-1,捞疙快,-1
0,0,1,0,0,1,1,0,1,0,0,2 全己癌,-1,辣瘤旷,5
1,0,0,1,0,0,0,1,1,0,0,7 全己癌,-1,蜡刚,-1
0,1,0,1,0,0,0,1,1,0,0,7 全己癌,-1,蜡刚,-1
0,0,1,0,1,0,0,1,0,1,0,7 全己癌,-1,冠沥柳,-1
0,0,1,0,0,1,1,0,1,0,0,7 全己癌,-1,辣痹柳,2
0,0,1,1,0,0,0,1,1,0,0,2 全己癌,-1,碍康侥,-1
0,0,1,1,0,0,0,1,0,0,1,2 全己癌,-1,捞疙快,-1
0,0,1,0,0,1,0,1,0,1,0,2 全己癌,-1,脚铰泅,-1
0,0,1,0,1,0,0,1,1,0,0,6 全己癌,-1,捞驱玫,-1
